trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.999000499833375, 'e': 0.9900498337491681}",25,0,-41.812923806074885,"{0: 16, 1: 5, 2: 4, 3: 0, 4: 0}",0
2,False,"{'a': 0.9980019986673331, 'e': 0.9801986733067553}",30,0,-145.0039927572442,"{0: 19, 1: 1, 2: 8, 3: 0, 4: 2}",0
3,False,"{'a': 0.997004495503373, 'e': 0.9704455335485082}",20,0,-103.87909290348955,"{0: 10, 1: 5, 2: 3, 3: 1, 4: 1}",0
4,False,"{'a': 0.9960079893439915, 'e': 0.9607894391523232}",25,0,-133.0410479853293,"{0: 17, 1: 2, 2: 2, 3: 2, 4: 2}",0
5,False,"{'a': 0.9950124791926823, 'e': 0.951229424500714}",30,13,-135.80142696042068,"{0: 9, 1: 0, 2: 5, 3: 1, 4: 2}",1
6,False,"{'a': 0.9940179640539353, 'e': 0.9417645335842487}",30,18,-35.79265863369214,"{0: 7, 1: 1, 2: 4, 3: 0, 4: 0}",1
7,False,"{'a': 0.9930244429332351, 'e': 0.9323938199059483}",20,0,-109.58700756403842,"{0: 12, 1: 3, 2: 3, 3: 0, 4: 2}",0
8,False,"{'a': 0.9920319148370607, 'e': 0.9231163463866358}",20,0,-71.5002387579008,"{0: 14, 1: 3, 2: 1, 3: 1, 4: 1}",0
9,False,"{'a': 0.9910403787728836, 'e': 0.9139311852712282}",25,0,-67.90783867873418,"{0: 18, 1: 2, 2: 4, 3: 0, 4: 1}",0
10,False,"{'a': 0.9900498337491681, 'e': 0.9048374180359595}",25,0,-150.53310959339186,"{0: 14, 1: 3, 2: 5, 3: 1, 4: 2}",0
11,False,"{'a': 0.9890602787753687, 'e': 0.8958341352965282}",25,2,-203.39491816789922,"{0: 12, 1: 2, 2: 5, 3: 0, 4: 4}",1
12,False,"{'a': 0.9880717128619305, 'e': 0.8869204367171575}",20,0,-106.67010833092041,"{0: 13, 1: 1, 2: 4, 3: 0, 4: 2}",0
13,False,"{'a': 0.9870841350202876, 'e': 0.8780954309205613}",20,0,-55.57089429658238,"{0: 12, 1: 3, 2: 5, 3: 0, 4: 0}",0
14,False,"{'a': 0.9860975442628619, 'e': 0.8693582353988059}",30,0,-129.39222830696653,"{0: 18, 1: 3, 2: 7, 3: 1, 4: 1}",0
15,False,"{'a': 0.9851119396030626, 'e': 0.8607079764250578}",30,0,-170.84594896906577,"{0: 18, 1: 4, 2: 5, 3: 0, 4: 3}",0
16,False,"{'a': 0.9841273200552851, 'e': 0.8521437889662113}",25,0,-65.96298088770725,"{0: 16, 1: 2, 2: 6, 3: 1, 4: 0}",0
17,False,"{'a': 0.9831436846349096, 'e': 0.8436648165963837}",35,0,-111.47958705180075,"{0: 25, 1: 5, 2: 3, 3: 0, 4: 2}",0
18,False,"{'a': 0.9821610323583008, 'e': 0.835270211411272}",20,11,2.539233176600158,"{0: 7, 1: 2, 2: 0, 3: 0, 4: 0}",1
19,False,"{'a': 0.981179362242806, 'e': 0.8269591339433623}",20,0,-40.073560248840955,"{0: 15, 1: 1, 2: 3, 3: 1, 4: 0}",0
20,False,"{'a': 0.9801986733067553, 'e': 0.8187307530779818}",20,0,-130.44102661000343,"{0: 14, 1: 1, 2: 2, 3: 0, 4: 3}",0
21,False,"{'a': 0.9792189645694596, 'e': 0.8105842459701871}",30,0,-100.4092825933333,"{0: 19, 1: 3, 2: 7, 3: 0, 4: 1}",0
22,False,"{'a': 0.97824023505121, 'e': 0.8025187979624785}",20,8,-47.38614979068673,"{0: 9, 1: 0, 2: 2, 3: 0, 4: 1}",1
23,False,"{'a': 0.9772624837732771, 'e': 0.794533602503334}",25,0,-45.08030326467499,"{0: 17, 1: 2, 2: 6, 3: 0, 4: 0}",0
24,False,"{'a': 0.9762857097579093, 'e': 0.7866278610665535}",25,0,-150.41672223644892,"{0: 16, 1: 2, 2: 4, 3: 0, 4: 3}",0
25,False,"{'a': 0.9753099120283326, 'e': 0.7788007830714049}",30,0,-72.89175408384811,"{0: 22, 1: 3, 2: 4, 3: 0, 4: 1}",0
26,False,"{'a': 0.9743350896087494, 'e': 0.7710515858035663}",20,0,-50.27799151150185,"{0: 14, 1: 0, 2: 6, 3: 0, 4: 0}",0
27,False,"{'a': 0.9733612415243368, 'e': 0.7633794943368531}",20,0,-90.71691068332748,"{0: 14, 1: 1, 2: 1, 3: 3, 4: 1}",1
