trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",20,0,-224.41956445612456,"{0: 11, 1: 1, 2: 3, 3: 0, 4: 5}",0
2,False,"{'a': 0.5, 'e': 1.0}",20,8,-18.380341265470857,"{0: 8, 1: 1, 2: 3, 3: 0, 4: 0}",1
3,False,"{'a': 0.5, 'e': 1.0}",20,0,-78.20868365253173,"{0: 13, 1: 2, 2: 4, 3: 0, 4: 1}",0
4,False,"{'a': 0.5, 'e': 1.0}",25,0,-170.8441025533618,"{0: 15, 1: 2, 2: 4, 3: 1, 4: 3}",0
5,False,"{'a': 0.5, 'e': 1.0}",35,26,-2.25998986167144,"{0: 7, 1: 1, 2: 1, 3: 0, 4: 0}",1
6,False,"{'a': 0.5, 'e': 1.0}",25,0,-95.96451759978638,"{0: 15, 1: 4, 2: 5, 3: 0, 4: 1}",0
7,False,"{'a': 0.5, 'e': 1.0}",25,0,-108.25218321346736,"{0: 16, 1: 1, 2: 6, 3: 1, 4: 1}",0
8,False,"{'a': 0.5, 'e': 1.0}",35,0,-252.06252884052316,"{0: 20, 1: 2, 2: 8, 3: 1, 4: 4}",0
9,False,"{'a': 0.5, 'e': 1.0}",25,0,-137.31789751728766,"{0: 16, 1: 0, 2: 7, 3: 0, 4: 2}",0
10,False,"{'a': 0.5, 'e': 1.0}",30,0,-184.93366053923455,"{0: 17, 1: 5, 2: 4, 3: 1, 4: 3}",0
11,False,"{'a': 0.5, 'e': 1.0}",30,0,-246.6403055726708,"{0: 15, 1: 4, 2: 6, 3: 1, 4: 4}",0
12,False,"{'a': 0.5, 'e': 1.0}",20,0,-151.76102377888256,"{0: 12, 1: 1, 2: 4, 3: 0, 4: 3}",0
13,False,"{'a': 0.5, 'e': 1.0}",30,0,-201.16512630415698,"{0: 13, 1: 4, 2: 10, 3: 1, 4: 2}",0
14,False,"{'a': 0.5, 'e': 1.0}",25,0,-126.33366313036085,"{0: 15, 1: 5, 2: 2, 3: 1, 4: 2}",0
15,False,"{'a': 0.5, 'e': 1.0}",30,0,-146.24154437625478,"{0: 20, 1: 4, 2: 3, 3: 0, 4: 3}",0
16,False,"{'a': 0.5, 'e': 1.0}",30,0,-123.77964178232972,"{0: 20, 1: 3, 2: 5, 3: 0, 4: 2}",0
17,False,"{'a': 0.5, 'e': 1.0}",30,0,-198.99841877295472,"{0: 17, 1: 4, 2: 5, 3: 1, 4: 3}",0
18,False,"{'a': 0.5, 'e': 1.0}",35,0,-143.43104080665327,"{0: 24, 1: 3, 2: 5, 3: 1, 4: 2}",0
19,False,"{'a': 0.5, 'e': 1.0}",30,0,-167.93234361071973,"{0: 17, 1: 3, 2: 7, 3: 1, 4: 2}",0
20,False,"{'a': 0.5, 'e': 1.0}",20,0,-198.20956692864252,"{0: 9, 1: 5, 2: 2, 3: 0, 4: 4}",0
1,True,"{'a': 0.5, 'e': 1.0}",20,0,-41.728857047186445,"{0: 13, 1: 5, 2: 1, 3: 1, 4: 0}",0
2,True,"{'a': 0.5, 'e': 1.0}",25,0,-125.54966515043078,"{0: 13, 1: 2, 2: 7, 3: 3, 4: 0}",0
3,True,"{'a': 0.5, 'e': 1.0}",25,0,-166.76739866561326,"{0: 15, 1: 1, 2: 6, 3: 0, 4: 3}",0
4,True,"{'a': 0.5, 'e': 1.0}",20,0,-100.3961591355402,"{0: 11, 1: 3, 2: 4, 3: 1, 4: 1}",0
5,True,"{'a': 0.5, 'e': 1.0}",25,0,-62.70150867537419,"{0: 17, 1: 2, 2: 5, 3: 1, 4: 0}",0
6,True,"{'a': 0.5, 'e': 1.0}",20,0,-114.66600991979021,"{0: 10, 1: 2, 2: 6, 3: 1, 4: 1}",0
7,True,"{'a': 0.5, 'e': 1.0}",25,0,-152.69087970139094,"{0: 14, 1: 3, 2: 5, 3: 1, 4: 2}",0
8,True,"{'a': 0.5, 'e': 1.0}",30,0,-217.43497466957118,"{0: 14, 1: 4, 2: 7, 3: 3, 4: 2}",0
9,True,"{'a': 0.5, 'e': 1.0}",25,7,-26.761552209247423,"{0: 14, 1: 1, 2: 2, 3: 1, 4: 0}",1
10,True,"{'a': 0.5, 'e': 1.0}",20,0,-90.55678735424183,"{0: 12, 1: 1, 2: 6, 3: 0, 4: 1}",0
